Id,Caso de Prueba,Descripción,Fecha,Área Funcional / Sub proceso,Funcionalidad / Característica,Datos / Acciones de Entrada,Resultado Esperado,Requerimientos de Ambiente de Pruebas,Procedimientos especiales requeridos,Dependencias con otros casos de Prueba,Resultado Obtenido,Estado,Última Fecha de Estado,Observaciones
ASP11,Accesibilidad y Seguridad de la Plataforma,Verificar que los datos del formulario se envíen mediante HTTPS.,25-11-2024,Accesibilidad y Seguridad,Envío de datos,Llenar el formulario y enviar,"Los datos se envían cifrados mediante HTTPS, visible en la barra de direcciones.",Navegador web con soporte HTTPS,No,Ninguna,Envío seguro de datos verificado,Aprobado,25-11-2024,Los datos del formulario se envían correctamente mediante HTTPS.
ASP12,Accesibilidad y Seguridad de la Plataforma,Verificar si la cuenta se bloquea temporalmente tras múltiples intentos fallidos.,25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Realizar 5 intentos fallidos consecutivos,La cuenta se bloquea por un tiempo definido tras varios intentos fallidos.,Servidor web con manejo de autenticación,No,Ninguna,Bloqueo de cuenta tras intentos fallidos,Aprobado,25-11-2024,La funcionalidad de bloqueo temporal después de varios intentos incorrectos funciona como se esperaba.
ASP13,Accesibilidad y Seguridad de la Plataforma,Verificar la presencia y funcionalidad de CAPTCHA en el formulario de registro.,25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Completar el formulario con un bot,El CAPTCHA debe aparecer y verificar si el usuario es humano antes de enviar.,Navegador web,No,Ninguna,CAPTCHA no implementado,Aprobado,25-11-2024,El formulario aún no cuenta con protección CAPTCHA.
ASP14,Accesibilidad y Seguridad de la Plataforma,Verificar que los campos de formularios se validen incluso sin RShin.,25-11-2024,Accesibilidad y Seguridad,Validaciones de formularios,Deshabilitar RShin y llenar el formulario,El formulario muestra errores de validación sin RShin.,Navegador web,Deshabilitar RShin,Ninguna,Validación local de campos funcional,Aprobado,25-11-2024,"La validación local funciona, pero necesita ajustes adicionales para casos específicos."
ASP15,Accesibilidad y Seguridad de la Plataforma,Verificar que no se permita insertar código HTML o RShin en los campos de texto.,25-11-2024,Accesibilidad y Seguridad,Campos de texto del formulario,Insertar <script>alert('XSS')</script>,"El código no se ejecuta, y se muestra un mensaje de error.",Servidor web con filtro XSS,No,Ninguna,Protección contra inserción de código malicioso,Aprobado,25-11-2024,Los campos de texto no permiten la inserción de código HTML o RShin.
ASP16,Accesibilidad y Seguridad de la Plataforma,Verificar que la contraseña tenga una longitud mínima requerida (8 caracteres o más).,25-11-2024,Accesibilidad y Seguridad,Campos de contraseña en formularios,"Ingresar una contraseña corta (ej. ""123"")",El sistema muestra un mensaje de error indicando que la contraseña es demasiado corta.,Navegador web,No,Ninguna,Validación de longitud mínima de contraseña aplicada,Aprobado,25-11-2024,La contraseña debe tener al menos 8 caracteres para ser aceptada.
ASP17,Accesibilidad y Seguridad de la Plataforma,Verificar que exista un botón de mostrar/ocultar contraseña para mejorar la accesibilidad.,25-11-2024,Accesibilidad y Seguridad,Campo de contraseña en formularios,Interactuar con el botón de visibilidad,El texto de la contraseña se muestra/oculta correctamente.,Navegador web,No,Ninguna,Botón de mostrar/ocultar contraseña funcional,Aprobado,25-11-2024,El botón permite al usuario alternar la visibilidad de la contraseña.
ASP18,Accesibilidad y Seguridad de la Plataforma,"Comprobar que la contraseña tenga al menos un número, una letra mayúscula y un carácter especial.",25-11-2024,Accesibilidad y Seguridad,Campos de contraseña en formularios,Ingresar una contraseña sin caracteres especiales,El sistema muestra un mensaje de error solicitando requisitos adicionales.,Navegador web,No,Ninguna,"Requisitos de contraseña (número, mayúscula, carácter especial) verificados",Aprobado,25-11-2024,Se valida que la contraseña contenga todos los requisitos mínimos.
ASP19,Accesibilidad y Seguridad de la Plataforma,Verificar que un usuario no pueda iniciar sesión simultáneamente desde diferentes dispositivos.,25-11-2024,Accesibilidad y Seguridad,Manejo de sesiones,Iniciar sesión en dos dispositivos distintos,El segundo intento de inicio de sesión debe ser rechazado o cerrar la primera sesión.,"Navegador web, servidor web",No,Ninguna,Restricción de inicio de sesión simultáneo implementada,Aprobado,25-11-2024,No se permite iniciar sesión en múltiples dispositivos al mismo tiempo.
ASP20,Accesibilidad y Seguridad de la Plataforma,Evaluar la compatibilidad del formulario con lectores de pantalla.,25-11-2024,Accesibilidad y Seguridad,Compatibilidad con lectores de pantalla,Navegación usando un lector de pantalla,Los elementos del formulario son leídos correctamente por el lector de pantalla.,Computadora con lector de pantalla,No,Ninguna,Compatibilidad con lectores de pantalla evaluada,Aprobado,25-11-2024,Algunas etiquetas necesitan mejoras para una mejor comprensión con lectores de pantalla.
ASP21,Accesibilidad y Seguridad de la Plataforma,Comprobar si hay limitación de intentos de inicio de sesión para prevenir ataques de fuerza bruta.,25-11-2024,Accesibilidad y Seguridad,Autenticación,Realizar múltiples intentos fallidos de acceso,El acceso se bloquea temporalmente después de un número de intentos fallidos.,Servidor con manejo de seguridad,No,Ninguna,Limitación de intentos de inicio de sesión aplicada,Aprobado,25-11-2024,"La cuenta se bloquea tras varios intentos fallidos, previniendo ataques de fuerza bruta."
ASP22,Accesibilidad y Seguridad de la Plataforma,Verificar que la sesión expire automáticamente tras un tiempo de inactividad.,25-11-2024,Accesibilidad y Seguridad,Manejo de sesiones,Iniciar sesión y esperar sin actividad,El usuario es redirigido a la pantalla de inicio de sesión tras la expiración de la sesión.,"Navegador web, servidor web",No,Ninguna,Expiración automática de sesión por inactividad confirmada,Aprobado,25-11-2024,La sesión expira automáticamente después de 15 minutos de inactividad.
ASP23,Accesibilidad y Seguridad de la Plataforma,Verificar que los elementos de formulario tengan etiquetas ARIA para mejor accesibilidad.,25-11-2024,Accesibilidad y Seguridad,Etiquetas ARIA en campos de formulario,Inspección del código fuente,Las etiquetas ARIA están presentes y correctamente implementadas.,"Navegador web, herramienta de inspección",No,Ninguna,Etiquetas ARIA en elementos de formulario verificadas,Aprobado,25-11-2024,Se añadieron etiquetas ARIA a la mayoría de los campos; algunas aún faltan.
ASP24,Accesibilidad y Seguridad de la Plataforma,Verificar que los mensajes de error sean legibles y se indiquen a través de texto accesible.,25-11-2024,Accesibilidad y Seguridad,Validaciones de formularios,Dejar campos obligatorios vacíos y enviar,Los mensajes de error deben ser claros y fácilmente entendibles para los usuarios.,Navegador web,No,Ninguna,Mensajes de error legibles y accesibles implementados,Aprobado,25-11-2024,Los mensajes de error se muestran de manera clara y accesible para todos los usuarios.
ASP25,Accesibilidad y Seguridad de la Plataforma,Verificar que el campo de teléfono solo acepte números y tenga una longitud válida,25-11-2024,Accesibilidad y Seguridad,Validaciones de formularios,Ingresar caracteres no numéricos,El sistema muestra un mensaje de error indicando que solo se permiten números.,Navegador web,No,Ninguna,Validación del campo de teléfono realizada,Aprobado,25-11-2024,El campo solo acepta números y verifica que el formato sea correcto.
ASP26,Accesibilidad y Seguridad de la Plataforma,Verificar la funcionalidad de autenticación de dos factores al iniciar sesión.,25-11-2024,Accesibilidad y Seguridad,Autenticación,Iniciar sesión y completar el 2FA,El usuario debe recibir un código de verificación y acceder solo tras ingresarlo correctamente.,Servidor con servicio de 2FA configurado,No,Ninguno,Autenticación de dos factores verificada,Aprobado,25-11-2024,La autenticación de dos factores se realizó correctamente mediante SMS.
ASP27,Accesibilidad y Seguridad de la Plataforma,Comprobar el proceso de recuperación de contraseña mediante correo electrónico.,25-11-2024,Accesibilidad y Seguridad,Recuperación de contraseña,Solicitar recuperación de contraseña,El usuario recibe un correo con instrucciones para restablecer su contraseña.,Servidor de correo configurado,No,Ninguno,Proceso de recuperación de contraseña probado,Aprobado,25-11-2024,Se envió el correo de recuperación exitosamente y el enlace funcionó correctamente.
ASP28,Accesibilidad y Seguridad de la Plataforma,Asegurar que la aplicación esté protegida contra ataques de clickjacking usando encabezados X-Frame-Options.,25-11-2024,Accesibilidad y Seguridad,Protección contra clickjacking,Inspeccionar encabezados HTTP,El encabezado X-Frame-Options debe estar presente para prevenir clickjacking.,"Navegador web, herramienta de inspección",No,Ninguno,Protección contra clickjacking mediante X-Frame-Options asegurada,Aprobado,25-11-2024,"El encabezado X-Frame-Options está configurado para ""DENY""."
ASP29,Accesibilidad y Seguridad de la Plataforma,Verificar si la aplicación permite que el navegador guarde las contraseñas.,25-11-2024,Accesibilidad y Seguridad,Manejo de contraseñas,Intentar guardar la contraseña en el navegador,El sistema debe sugerir al usuario no guardar contraseñas en dispositivos públicos.,Navegador web,No,Ninguno,Guardado de contraseñas en navegador comprobado,Aprobado,25-11-2024,El formulario permite o niega el guardado de contraseñas según los requisitos de seguridad.
ASP30,Accesibilidad y Seguridad de la Plataforma,Verificar que exista un Captcha en el formulario de registro para evitar bots.,25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Completar el formulario de registro,El usuario debe resolver el Captcha antes de poder registrarse.,Servidor web con Captcha habilitado,No,Ninguno,Captcha implementado en el formulario de registro,Aprobado,25-11-2024,"El Captcha se muestra correctamente, evitando el registro de bots."
ASP31,Accesibilidad y Seguridad de la Plataforma,Probar la visualización de la interfaz en modo de alto contraste para usuarios con baja visión.,25-11-2024,Accesibilidad y Seguridad,Modo de visualización,Activar modo de alto contraste en el sistema,Todos los elementos deben ser claramente visibles y legibles.,Navegador con modo de alto contraste,No,Ninguno,Prueba de interfaz en modo de alto contraste,Aprobado,25-11-2024,Algunas partes de la interfaz requieren ajustes para mejor visibilidad en alto contraste.
ASP32,Accesibilidad y Seguridad de la Plataforma,Verificar que los campos de entrada no sean vulnerables a inyecciones SQL.,25-11-2024,Accesibilidad y Seguridad,Validación de formularios,Ingresar una inyección SQL en campos de texto,El sistema debe prevenir y bloquear intentos de inyección SQL.,"Navegador web, servidor con base de datos",No,Ninguno,Vulnerabilidad a inyecciones SQL en campos de entrada verificada,Aprobado,25-11-2024,Los campos fueron protegidos contra inyecciones SQL mediante validación adecuada.
ASP33,Accesibilidad y Seguridad de la Plataforma,Comprobar que todos los elementos de la interfaz sean accesibles mediante navegación con el teclado.,25-11-2024,Accesibilidad y Seguridad,Navegación,Navegar usando solo el teclado,El usuario puede interactuar con todos los elementos sin necesidad de mouse.,Navegador web,No,Ninguno,Navegación con teclado en la interfaz comprobada,Aprobado,25-11-2024,"La mayoría de los elementos son accesibles con el teclado, pero algunos botones requieren ajustes."
ASP34,Accesibilidad y Seguridad de la Plataforma,Comprobar que el acceso a la aplicación esté protegido mediante HTTPS.,25-11-2024,Accesibilidad y Seguridad,Acceso seguro,Acceder a la aplicación a través de HTTP,El sistema redirige automáticamente a HTTPS para una conexión segura.,Servidor con certificado SSL/TLS,No,Ninguno,Protección de acceso mediante HTTPS verificada,Aprobado,25-11-2024,Toda la comunicación se realiza de manera segura a través de HTTPS.
ASP35,Accesibilidad y Seguridad de la Plataforma,"Verificar la opción de ""Recordarme"" y su funcionamiento adecuado sin comprometer la seguridad.",25-11-2024,Accesibilidad y Seguridad,Manejo de sesión,"Activar la opción ""Recordarme"" al iniciar sesión","El usuario permanece autenticado tras cerrar y reabrir el navegador, pero solo en dispositivos seguros.",Navegador web,No,Ninguno,"Funcionalidad de la opción ""Recordarme"" evaluada",Aprobado,25-11-2024,"La opción ""Recordarme"" funciona, pero requiere pruebas adicionales para asegurar que no comprometa la seguridad."
ASP36,Accesibilidad y Seguridad de la Plataforma,Verificar que los usuarios no autenticados no puedan acceder a páginas protegidas.,25-11-2024,Accesibilidad y Seguridad,Autorización de acceso,Intentar acceder a rutas protegidas directamente,El sistema redirige a la página de inicio de sesión si no está autenticado.,Navegador web,No,Ninguno,Acceso a páginas protegidas por usuarios no autenticados verificado,Aprobado,25-11-2024,Los usuarios no autenticados son redirigidos a la página de inicio de sesión.
ASP37,Accesibilidad y Seguridad de la Plataforma,"Comprobar la funcionalidad de ""mostrar/ocultar contraseña"" durante el inicio de sesión.",25-11-2024,Accesibilidad y Seguridad,Formulario de inicio de sesión,Activar opción de mostrar contraseña,La contraseña debe mostrarse y ocultarse al activar/desactivar la opción.,Navegador web,No,Ninguno,"Funcionalidad de ""mostrar/ocultar contraseña"" durante inicio de sesión comprobada",Aprobado,25-11-2024,"El botón ""mostrar/ocultar contraseña"" funciona correctamente."
ASP38,Accesibilidad y Seguridad de la Plataforma,Probar que la sesión del usuario expire después de un periodo de inactividad.,25-11-2024,Accesibilidad y Seguridad,Manejo de sesión,Permanecer inactivo por 30 minutos,El usuario es redirigido a la página de inicio de sesión al expirar la sesión.,Servidor configurado con tiempo de expiración,No,Ninguno,Expiración automática de la sesión tras inactividad evaluada,Aprobado,25-11-2024,"La sesión expira correctamente, pero el tiempo de espera necesita ajustes según los requisitos."
ASP39,Accesibilidad y Seguridad de la Plataforma,Verificar que los campos de entrada sean seguros contra ataques de scripting (XSS).,25-11-2024,Accesibilidad y Seguridad,Validación de formularios,Ingresar un script en campos de texto,El sistema bloquea y limpia los intentos de inyección de código JavaScript.,"Navegador web, herramienta de inspección",No,Ninguno,Protección contra ataques XSS en campos de entrada verificada,Aprobado,25-11-2024,Los campos de texto están protegidos contra inyecciones XSS mediante validaciones adecuadas.
ASP40,Accesibilidad y Seguridad de la Plataforma,Evaluar si la interfaz se mantiene funcional y legible al aplicar zoom del navegador (200%).,25-11-2024,Accesibilidad y Seguridad,Adaptabilidad visual,Aplicar zoom al 200% en el navegador,Todos los elementos deben ser visibles y accesibles sin afectar la usabilidad.,Navegador web,No,Ninguno,Funcionalidad y legibilidad de la interfaz al aplicar zoom del 200% comprobada,Aprobado,25-11-2024,La interfaz se mantiene legible y funcional al aplicar zoom.
ASP41,Accesibilidad y Seguridad de la Plataforma,"Asegurar que el sistema requiera contraseñas con un mínimo de complejidad (mayúsculas, minúsculas, números).",25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Ingresar contraseña sencilla,El sistema debe rechazar contraseñas débiles y solicitar una más segura.,Servidor con validaciones configuradas,No,Ninguno,Verificación de complejidad mínima de contraseñas realizada,Aprobado,25-11-2024,"El sistema acepta contraseñas con letras mayúsculas, minúsculas y números, falta validar caracteres especiales."
ASP42,Accesibilidad y Seguridad de la Plataforma,"Verificar que el campo ""Confirmar Contraseña"" coincida con el campo de contraseña en el registro.",25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Ingresar contraseñas diferentes,El sistema muestra un mensaje de error si las contraseñas no coinciden.,Navegador web,No,Ninguno,"Validación de coincidencia entre ""Contraseña"" y ""Confirmar Contraseña"" verificada",Aprobado,25-11-2024,El sistema muestra un mensaje de error si los campos no coinciden.
ASP43,Accesibilidad y Seguridad de la Plataforma,Utilizar herramientas de evaluación de accesibilidad (como WAVE o Lighthouse) para identificar problemas.,25-11-2024,Accesibilidad y Seguridad,Evaluación de accesibilidad,Ejecutar auditoría de accesibilidad,El sistema debe cumplir con los estándares básicos de accesibilidad (WCAG).,Herramientas de accesibilidad web,No,Ninguno,Evaluación de accesibilidad con herramientas como WAVE y Lighthouse realizada,Aprobado,25-11-2024,Se identificaron áreas con bajo contraste y falta de texto alternativo en algunas imágenes.
ASP44,Accesibilidad y Seguridad de la Plataforma,Evaluar si el sistema deshabilita el autocompletado para campos sensibles como contraseñas.,25-11-2024,Accesibilidad y Seguridad,Formulario de inicio de sesión,Intentar autocompletar campos sensibles,El navegador no debe autocompletar contraseñas ni datos sensibles.,Navegador web,No,Ninguno,Autocompletado deshabilitado para campos sensibles como contraseñas verificado,Aprobado,25-11-2024,"El atributo autocomplete=""off"" se implementó en los campos de contraseñas."
ASP45,Accesibilidad y Seguridad de la Plataforma,Asegurar que la plataforma informe al usuario sobre el uso de cookies y solicite consentimiento.,25-11-2024,Accesibilidad y Seguridad,Políticas de privacidad,Iniciar sesión en la plataforma,El usuario debe ver un aviso sobre el uso de cookies y poder aceptar o rechazar.,Navegador web,No,Ninguno,Consentimiento para el uso de cookies comprobado,Aprobado,25-11-2024,Se muestra un aviso de cookies y se solicita el consentimiento del usuario.
ASP46,Accesibilidad y Seguridad de la Plataforma,Verificar la presencia y funcionalidad del captcha para evitar registros automáticos.,25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Completar formulario de registro,El usuario debe resolver un captcha antes de registrarse.,Navegador web,No,Ninguno,Presencia y funcionalidad del captcha para evitar registros automáticos verificada,Aprobado,25-11-2024,El captcha se muestra correctamente y previene registros automáticos.
ASP47,Accesibilidad y Seguridad de la Plataforma,Probar si los errores en el formulario se indican con alertas claras y accesibles.,25-11-2024,Accesibilidad y Seguridad,Formulario de registro,Dejar campos requeridos vacíos,Los errores deben mostrarse con mensajes claros y fáciles de entender.,Navegador web,No,Ninguno,Indicaciones de errores en el formulario con alertas claras y accesibles comprobadas,Aprobado,25-11-2024,Algunos mensajes de error necesitan ajustes para mejorar la accesibilidad.
ASP48,Accesibilidad y Seguridad de la Plataforma,Evaluar si la aplicación está protegida contra ataques de clickjacking mediante encabezados X-Frame-Options.,25-11-2024,Accesibilidad y Seguridad,Protección contra clickjacking,Intentar cargar la aplicación en un iframe externo,La aplicación no debe mostrarse en un iframe de otro sitio web.,"Navegador web, herramienta de inspección",No,Ninguno,Protección contra ataques de clickjacking mediante encabezados X-Frame-Options evaluada,Aprobado,25-11-2024,Los encabezados están implementados correctamente para prevenir clickjacking.
ASP49,Accesibilidad y Seguridad de la Plataforma,Comprobar si todas las imágenes incluyen texto alternativo (alt text) para accesibilidad.,25-11-2024,Accesibilidad y Seguridad,Inclusión de texto alternativo,Revisar el código HTML y probar con lector de pantalla,Todas las imágenes deben tener descripciones accesibles.,"Navegador web, lector de pantalla",No,Ninguno,Verificación de texto alternativo (alt text) en imágenes realizada,Aprobado,25-11-2024,Algunas imágenes carecen de texto alternativo y necesitan corrección.
ASP50,Accesibilidad y Seguridad de la Plataforma,Verificar si las contraseñas se almacenan de forma segura (hashed y salted).,25-11-2024,Accesibilidad y Seguridad,Base de datos,Crear un usuario y verificar el almacenamiento de la contraseña,Las contraseñas deben estar encriptadas y no ser visibles en texto plano.,Acceso a la base de datos,No,Ninguno,Almacenamiento seguro de contraseñas (hashed y salted) comprobado,Aprobado,25-11-2024,Las contraseñas se almacenan utilizando algoritmos seguros con hash y salting.
ASP51,Accesibilidad y Seguridad de la Plataforma,Probar que el usuario sea redirigido correctamente tras iniciar sesión.,25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Ingresar credenciales válidas,El usuario debe ser redirigido al dashboard principal.,Navegador web,No,Ninguno,Redirección correcta del usuario tras iniciar sesión verificada,Aprobado,25-11-2024,Los usuarios son redirigidos al dashboard después del inicio de sesión exitoso.
ASP52,Accesibilidad y Seguridad de la Plataforma,Evaluar si el sistema bloquea el acceso tras varios intentos de inicio fallidos.,25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Intentar iniciar sesión con credenciales incorrectas varias veces,El usuario debe ser bloqueado temporalmente tras múltiples intentos fallidos.,Navegador web,No,Ninguno,Bloqueo del acceso tras varios intentos fallidos de inicio de sesión evaluado,Aprobado,25-11-2024,"El sistema bloquea temporalmente la cuenta tras varios intentos fallidos, pero se necesita ajustar el número de intentos permitidos."
ASP53,Accesibilidad y Seguridad de la Plataforma,Comprobar si las funcionalidades están adecuadamente restringidas según los roles de usuario.,25-11-2024,Accesibilidad y Seguridad,Gestión de usuarios,Acceder a funcionalidades con diferentes roles,Los usuarios deben ver solo las funcionalidades permitidas por su rol.,Navegador web,No,Ninguno,Restricciones de funcionalidades según los roles de usuario comprobadas,Aprobado,25-11-2024,Las funcionalidades están adecuadamente restringidas según los permisos de los roles de usuario.
ASP54,Accesibilidad y Seguridad de la Plataforma,"Verificar el proceso de recuperación de contraseña y que incluya medidas de seguridad (enlace temporal, autenticación).",25-11-2024,Accesibilidad y Seguridad,Recuperación de contraseña,Solicitar recuperación de contraseña,El usuario recibe un enlace seguro para cambiar su contraseña.,"Navegador web, correo electrónico",No,Ninguno,Proceso de recuperación de contraseña evaluado con medidas de seguridad implementadas,Aprobado,25-11-2024,El proceso incluye enlace temporal y verificación adicional para mayor seguridad.
ASP55,Accesibilidad y Seguridad de la Plataforma,Comprobar que las contraseñas no se almacenen en la memoria cache del navegador tras el inicio de sesión.,25-11-2024,Accesibilidad y Seguridad,Manejo de sesión,Iniciar sesión y revisar memoria cache,La contraseña no debe estar disponible en la memoria cache.,"Navegador web, herramienta de inspección",No,Ninguno,Comprobación de no almacenamiento de contraseñas en la memoria caché del navegador realizada,Aprobado,25-11-2024,Las contraseñas no se almacenan en la caché del navegador tras el inicio de sesión.
ASP56,Accesibilidad y Seguridad de la Plataforma,Probar la funcionalidad de autenticación multifactor (MFA) para mayor seguridad.,25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Ingresar credenciales y completar verificación adicional,El usuario debe ingresar un código adicional enviado al correo o teléfono.,"Navegador web, acceso a email/teléfono",Configuración de MFA activa,Ninguno,Funcionalidad de autenticación multifactor (MFA) probada para mayor seguridad,Aprobado,25-11-2024,"La configuración del MFA está activa, pero requiere pruebas adicionales para diferentes métodos de autenticación."
ASP57,Accesibilidad y Seguridad de la Plataforma,Verificar si los colores y contrastes cumplen con las normas de accesibilidad (WCAG).,25-11-2024,Accesibilidad y Seguridad,Interfaz de usuario,Inspeccionar diferentes pantallas de la aplicación,Los colores deben ser legibles para usuarios con dificultades visuales.,Navegador web,No,Ninguno,Verificación de colores y contrastes según normas WCAG realizada,Aprobado,25-11-2024,Los colores cumplen con los estándares mínimos de contraste establecidos por WCAG 2.1.
ASP58,Accesibilidad y Seguridad de la Plataforma,Evaluar si el sistema es vulnerable a ataques de XSS.,25-11-2024,Accesibilidad y Seguridad,Formularios de usuario,Ingresar un script malicioso en un campo de texto,El script no debe ejecutarse; el sistema debe filtrar el contenido.,"Navegador web, herramientas de prueba",No,Ninguno,Evaluación de vulnerabilidad a ataques XSS realizada,Aprobado,25-11-2024,"Se detectaron posibles puntos de inyección XSS en formularios, necesitan correcciones de validación de entradas."
ASP59,Accesibilidad y Seguridad de la Plataforma,Verificar que la sesión del usuario expire después de un tiempo inactivo.,25-11-2024,Accesibilidad y Seguridad,Manejo de sesión,Iniciar sesión y esperar tiempo de inactividad,El usuario debe ser desconectado tras un período de inactividad.,Navegador web,No,Ninguno,Verificación de expiración de sesión tras inactividad realizada,Aprobado,25-11-2024,La sesión expira correctamente tras 15 minutos de inactividad.
ASP60,Accesibilidad y Seguridad de la Plataforma,Evaluar si el usuario puede navegar por la interfaz utilizando solo el teclado.,25-11-2024,Accesibilidad y Seguridad,Navegación de la interfaz,"Navegar por la aplicación usando Tab, Enter, etc.",El usuario debe poder acceder a todos los elementos interactivos.,Navegador web,No,Ninguno,Evaluación de navegación de la interfaz utilizando solo el teclado realizada,Aprobado,25-11-2024,"La mayoría de los elementos son accesibles, pero se necesita mejorar el enfoque en algunos campos."
ASP61,Accesibilidad y Seguridad de la Plataforma,"Comprobar si la aplicación impone restricciones en la creación de contraseñas (longitud, caracteres especiales, etc.).",25-11-2024,Accesibilidad y Seguridad,Registro de usuario,Crear una contraseña que no cumpla con los requisitos,El sistema debe mostrar un mensaje de error indicando los requisitos.,Navegador web,No,Ninguno,"Restricciones en la creación de contraseñas comprobadas (longitud, caracteres especiales)",Aprobado,25-11-2024,"El sistema impone correctamente una longitud mínima de 8 caracteres, incluyendo mayúsculas, números y caracteres especiales."
